# pdb h1 h2 h3 l1 l2 l3
2r56 10.7259036145 11.5471794872 7.48758241758 15.1775949367 12.9308888889 7.79406976744
4x0k 41.3795 47.6479166667 35.9148979592 29.33992 36.9224137931 27.3304545455
1ol0 18.5869117647 17.7980701754 19.5256730769 none none none
1rei none none none 0.0 0.0 0.0
1a7o 27.7854929577 34.59325 31.6365789474 19.22 23.7031372549 25.1366197183
1a7n 19.3474647887 21.6133333333 22.703164557 15.1340506329 18.2843137255 16.1763414634
1a7r 16.4364788732 19.5459349593 17.6473684211 12.785443038 16.8752941176 14.5746341463
1a7q 21.9454929577 22.72125 22.3336708861 20.1644871795 21.6731372549 18.192345679
1a7p 17.2571830986 20.1716260163 18.8180821918 17.7456962025 17.6878431373 18.8316049383
4wy7 36.8086956522 32.0079389313 46.8664179104 32.5952325581 33.1226666667 27.0795714286
3eo0 25.7016 24.3563358779 18.8945783133 27.1861627907 21.0463636364 18.1366197183
3eo9 16.9486904762 21.0502054795 14.8356481481 20.6779069767 16.1076086957 14.7706329114
5xcv 73.0859210526 64.4987394958 71.5522972973 84.2769387755 87.2082258065 68.9138983051
5xct 17.075 22.8730215827 11.8501851852 21.7013131313 18.0388461538 22.9821428571
5xcu 24.0284 28.0685384615 27.4882474227 30.1087022901 30.9117241379 26.1818309859
5xcr 25.3675675676 27.0071942446 19.027962963 18.5956565657 21.3157692308 16.6851190476
5xcs 31.8018666667 35.6331538462 34.034742268 44.2154198473 41.7325862069 34.5271830986
5xcq 13.232972973 16.4285611511 11.1748148148 16.3570707071 15.2305769231 11.1126190476
5f21 20.3945205479 30.9272413793 35.4418518519 none none none
5m13 22.5443037975 17.788 13.4827083333 none none none
5m15 67.2627631579 48.7879389313 47.8058571429 none none none
5m14 43.5377631579 34.6709160305 29.804375 none none none
2jk5 44.6616091954 42.4612857143 33.5392957746 30.2098780488 39.0932692308 24.3057317073
3ijh 24.868255814 25.6727516779 27.4679674797 31.0329927007 25.9293103448 21.7784848485
1mcb none none none 0.0 0.0 0.0
5kjr 34.5051162791 37.9893333333 34.6288659794 41.4590909091 41.5944444444 39.7554545455
5wuv 15.5271604938 18.7593382353 16.1532051282 18.5089333333 16.8812962963 14.43825
5wux 94.7649382716 100.833014706 79.4947435897 83.5866666667 55.9516666667 78.54275
4las 35.9693243243 27.9652985075 29.1972413793 24.336547619 21.1334782609 18.7261728395
4lar 36.1533783784 27.0224626866 35.7459770115 25.2729761905 25.3613043478 18.6543209877
4laq 72.1360810811 72.3547761194 103.411724138 68.7082142857 65.3447826087 55.1871604938
1nj9 36.9655681818 37.4305673759 32.0385106383 28.0331067961 45.4203773585 32.1598809524
3mo1 36.8835714286 30.9972992701 29.0763888889 52.5561594203 35.90125 29.4048780488
5l21 45.9385833333 28.5642758621 33.3375 none none none
4toy 28.7326136364 29.3375486381 22.7733031674 31.4340322581 22.6868269231 21.9487121212
4laj 81.583375 86.7265354331 54.5049107143 none none none
4qci 52.8680263158 57.8216666667 49.6151041667 49.0774390244 50.5724074074 54.1511764706
5nyx 34.6664634146 44.40416 37.6807843137 43.9529885057 none 34.1575
6gs4 81.6777922078 90.4982539683 82.4691724138 none none none
3eyf 39.4491139241 42.1152755906 41.519122807 41.0970886076 46.292 36.3349411765
3h3b 20.7896350365 25.70078125 20.7386206897 20.7500724638 26.2525396825 20.9842857143
5cd3 28.6319277108 35.9870748299 40.6184158416 65.63 38.9232692308 38.2080851064
4py8 73.8306593407 87.3830769231 68.5406930693 86.1001219512 70.2686666667 82.03
3eyo 53.4305063291 56.4696062992 52.4642105263 45.9001265823 41.5178 46.512
3eys 40.6274666667 36.8833566434 43.0089908257 36.53424 29.110862069 30.7755072464
3eyq 33.2864556962 34.882519084 29.5046268657 24.369382716 23.9168 18.7380232558
3h3p 28.0505882353 26.8713740458 28.0584615385 39.0187209302 28.8784444444 36.4614285714
2h1p 37.3529268293 39.1208461538 26.224516129 38.7869047619 33.390862069 30.4854794521
3eyu 33.1494666667 37.7053846154 34.779266055 30.09376 24.684137931 29.9698550725
4b41 13.4788888889 15.861826087 18.5204054054 none none none
4dqo 50.6667901235 47.5554372624 61.851567696 41.9713372093 48.8158095238 41.6979012346
5uy3 64.033908046 37.2048201439 44.8960740741 45.8506666667 45.2318367347 44.6190789474
6msy 31.3262195122 32.2501574803 37.5426168224 38.0006818182 39.0521568627 30.3905714286
2v7h 47.3044444444 53.2841221374 45.0542268041 48.6972527473 46.9901851852 41.7030882353
1fj1 40.4156321839 44.3515328467 29.4561538462 25.4447126437 20.3089285714 28.34975
2v7n 27.5611111111 35.3852985075 19.7783783784 24.796741573 22.4102040816 20.3552054795
5wcd 29.868013245 42.8366666667 51.0575193798 52.4703571429 48.099137931 67.6800632911
1il1 44.6240425532 47.3968421053 48.4374038462 40.4834285714 35.9231034483 28.988902439
5wca 16.1118543046 21.6956981132 23.0326 79.5032804233 21.3562857143 32.3096899225
5nbi 73.5085542169 66.8635761589 73.3059259259 65.038 64.8624 49.5111538462
5wcc 63.766835443 50.9205882353 70.9883333333 92.630952381 79.0678947368 55.479673913
3mod 37.29475 32.936969697 37.4590123457 39.0949315068 31.21 26.9624096386
3moa 33.4325 32.6431060606 35.3779012346 40.2226027397 28.3360416667 29.4136144578
3qrg 20.0538961039 17.586875 16.4359302326 17.583 18.4484782609 15.9992405063
3mob 40.6325 42.8184848485 46.9287654321 46.5754794521 39.2452083333 36.8137349398
5ivz 21.2683116883 23.7558064516 18.3404950495 21.8863414634 17.8298076923 16.2058441558
5jds 21.447972973 22.5465289256 16.6225 none none none
6cyf 55.9442307692 59.044 53.1705511811 66.03 62.5038297872 59.0112941176
1jfq 17.6776 29.6117021277 18.7196190476 19.6483333333 18.1085714286 15.0642647059
2d7t 26.8343373494 26.8239130435 26.3806779661 20.7020430108 22.9762222222 15.8984931507
5ivn 16.46625 14.4414615385 12.9474336283 none none none
5ivo 40.057027027 30.19568 37.378627451 none none none
1dvf 30.9009876543 37.1903623188 20.9164220183 32.0639325843 27.6368333333 20.8909589041
4jam 23.0112698413 25.1306072874 24.8626027397 22.3159574468 31.58 23.1341614907
3qxt 40.6355421687 28.1186885246 28.9380487805 none none none
4h0g 33.8514634146 50.3485245902 31.3844642857 37.709047619 42.1056896552 30.3694366197
4h0h 28.7300813008 27.4790163934 26.3232142857 30.9946031746 26.6427586207 28.7043661972
4h0i 27.6367857143 31.4778417266 28.2003529412 27.6564367816 35.084 25.0163414634
5ywf 36.4955294118 46.125859375 38.0154545455 54.7698913043 42.9655319149 51.9888235294
12e8 23.5308888889 18.0544680851 17.3513265306 9.47305555556 8.96836363636 8.56263157895
1tji 27.805 25.865 29.8814197531 31.6828767123 26.0102083333 23.2921686747
1tjh 28.1725 28.0753787879 30.7329012346 35.2094520548 28.1645833333 26.4803614458
4k9e 34.9479268293 36.9431386861 37.5101351351 71.1654639175 56.3855102041 50.986626506
43c9 40.927375 44.8945833333 57.6353571429 56.1678195489 45.1543636364 48.2861728395
5odb 14.844939759 17.3719083969 12.7241441441 17.1943037975 19.3289655172 16.5002898551
6hkg 38.4927027027 44.1952419355 41.5345192308 38.6036708861 42.4302222222 38.3620689655
1tjg 27.963125 24.0813636364 29.5095061728 29.7836986301 25.1741666667 21.2272289157
3uyr 51.5596732026 40.0205882353 34.3413934426 28.9568571429 37.1912711864 25.756173913
3uyp 37.9641975309 31.8974074074 27.8847457627 39.2026744186 32.7945762712 27.2790123457
2x1q 11.0718333333 9.91495575221 11.5488 none none none
2x1p 10.355 9.96138211382 10.4607482993 none none none
3det 96.1383695652 98.7587022901 78.5136206897 86.2055555556 77.4954901961 77.5463636364
5iv2 23.6216883117 24.0104032258 22.7658415842 23.3630487805 19.8890384615 18.5005194805
1nld 15.0833333333 10.7553719008 25.8857894737 12.2296721311 8.88403846154 11.9865
4lsu 49.6850561798 56.1901360544 68.82264 47.7204255319 67.0856603774 46.0768181818
4lst 90.5549382716 83.5009022556 86.8202803738 101.456029412 93.0409090909 76.9966
2x1o 17.9171764706 19.902761194 19.4496938776 none none none
4lsq 55.1007142857 41.6266538462 58.7831455399 78.4796296296 73.7157954545 54.8222619048
4lsp 67.550625 45.8269615385 75.1217840376 62.4657407407 62.3509090909 43.4019277108
4lss 47.6077777778 35.9237593985 39.1686915888 53.7498529412 43.1040909091 33.4846
4lsr 56.0608333333 46.4524460432 77.5847272727 95.4915 88.9772340426 66.7645652174
5od8 49.0710958904 39.8838931298 47.2150684932 37.6214285714 40.125 32.2564383562
5t4z 39.5903488372 45.4754887218 55.8171311475 50.1964285714 39.1698245614 46.71
4k94 23.9978481013 35.7461313869 25.7824324324 55.7271232877 35.5514285714 43.1377108434
1jps 21.4778021978 23.846 16.9991176471 22.6690217391 21.9809615385 15.9274324324
2ck0 34.361038961 28.8640625 62.5957971014 38.537826087 23.1681132075 30.1436619718
43ca 35.514 38.93575 42.1394047619 42.0577443609 36.242 38.6309876543
4tqe 22.4298888889 24.6782352941 22.9513131313 27.14536 20.6987931034 18.7114666667
5mx3 57.5875903614 61.9017482517 100.360860215 70.229379845 56.6439655172 52.6073972603
4od3 95.0538461538 84.9483870968 99.9974734043 79.962962963 87.7281081081 86.5358064516
4od1 32.5107954545 45.8096124031 54.8026377953 95.4138554217 60.3072807018 85.767251462
6ao0 23.5048101266 24.9709923664 26.1131531532 none none none
4m3j 34.126875 35.2621818182 52.7408988764 none none none
4m3k 21.490625 19.9377272727 23.2107865169 none none none
5mv4 66.3117073171 52.3381333333 54.2304347826 62.5284821429 73.8254545455 43.7028571429
3g5x 41.3285393258 37.8344615385 38.6624074074 33.3141975309 34.4039622642 29.9486419753
3g5z 30.6556179775 28.577 28.5055555556 33.660375 37.6870588235 27.7855555556
6fuz 113.168314607 99.9792741935 117.838666667 none none none
4uu9 25.1552631579 37.4600900901 26.4327941176 27.0255319149 40.7134482759 30.3145679012
5fxc 35.931011236 43.3516339869 31.7379166667 37.3785869565 43.5520238095 30.3897101449
3g5v 32.4349438202 34.3743846154 35.167962963 33.1964197531 33.6766037736 31.9082716049
1k6q 46.5352222222 42.3186206897 52.2061764706 39.2521590909 40.6080392157 41.0587323944
4zs7 18.52 16.24296875 20.2487128713 21.1258585859 12.1005769231 14.0349382716
5ghw 65.7103571429 64.8620289855 51.9843428571 49.1695402299 47.8011320755 50.1992045455
4gft 16.1110465116 20.5328688525 17.7336363636 none none none
4evn 119.574189189 68.7621538462 71.1196 62.4157303371 72.8451851852 63.0777777778
4ods 30.3191428571 25.53376 24.3637755102 21.9868644068 22.1747169811 19.0085135135
5ovw 128.262533333 149.389473684 104.885714286 none none none
5mvg none none none 53.4111235955 40.0496363636 65.2761904762
4uuj 78.6865517241 80.3972463768 54.6752112676 52.842804878 56.3282692308 44.653902439
4odv 40.0801204819 55.6979032258 36.9866956522 41.3781521739 40.0725862069 39.574
4odu 20.7088888889 34.2675316456 19.2350757576 19.5791011236 23.0895081967 16.1124657534
4odt 27.9934567901 33.1602531646 28.715530303 37.0412359551 32.2708196721 30.7187671233
5mvj 27.4819277108 31.8391608392 31.6284946237 51.6394117647 36.6167241379 32.8746575342
6aod 31.2616091954 36.7803571429 32.5967692308 29.2441463415 31.5251111111 28.3915068493
5bop 25.2241791045 25.9966929134 23.7871223022 none none none
5x8m 40.6322222222 41.7922222222 36.0271717172 38.2772826087 36.2858333333 34.2055263158
4odh 61.8092465753 62.9371541502 69.8801005025 72.6076047904 63.2224561404 65.837628866
5mvz 62.9884705882 67.5429850746 57.9748611111 61.2314814815 59.5942 57.6012790698
2oqj 68.0041463415 68.2160629921 69.8538317757 68.5952272727 68.4807843137 69.11
5sv3 44.8884285714 18.5619379845 22.2546212121 none none none
5id0 18.7090909091 19.1291935484 17.4084158416 18.996097561 17.7248076923 15.1445454545
5id1 25.8915584416 26.514516129 23.3414851485 25.1607894737 23.6748076923 21.2132467532
4zso 33.8103529412 41.0092366412 28.6271134021 36.7548648649 30.804375 34.0310810811
3sob 26.784047619 30.0202985075 29.8545801527 34.7398684211 35.7327777778 30.1428169014
4nx3 34.1974117647 45.6227737226 30.6915492958 48.3541085271 40.3358181818 35.9734177215
3dsf 18.8820731707 20.5758125 24.5080487805 25.6974157303 25.3665217391 23.419875
5jr1 33.6721621622 46.0374820144 30.9178095238 30.4273652695 31.604245283 42.7599441341
6co3 51.4315584416 54.0665492958 57.616 77.6736470588 75.3137777778 58.3663380282
3oay 36.693902439 36.9837795276 44.903364486 40.1384090909 41.2239215686 34.7624285714
3pgf 20.7397560976 27.9594615385 17.4733018868 40.9947945205 17.1524489796 26.8084507042
3oaz 23.2157317073 23.5782677165 24.4641121495 19.9026136364 19.8670588235 17.3527142857
3oau 47.1915853659 56.8348818898 48.9920560748 46.6401136364 39.7623529412 43.7944285714
4g3y 28.4579545455 34.6770344828 25.6885185185 26.5502409639 28.0157692308 22.2086075949
1a4j 42.239382716 29.2267857143 45.8061290323 47.3356349206 34.3184482759 44.6216666667
1a4k 36.7817283951 35.1037142857 32.5859139785 32.3005511811 33.5094827586 27.7076119403
4q0x 82.6415730337 78.1195890411 73.0172413793 96.9786507937 81.7460344828 79.8713235294
6dw2 30.762625 30.9348854962 34.5402564103 37.3742168675 35.0484 29.616097561
6fgb 40.3567948718 58.6283941606 38.0455882353 52.846779661 42.2702 49.7604109589
2aab 56.8797435897 56.4233333333 54.3768217054 41.6070338983 48.2967391304 41.9120512821
6h0e 31.1068478261 36.6568656716 36.2905813953 33.2641044776 31.2239583333 25.4976315789
1iqw 19.9766666667 30.0170921986 37.306460177 48.25 20.1708510638 36.9041891892
5e0q 48.1655319149 45.0044354839 49.1109665428 none none none
1e4w 30.9791304348 30.8502836879 31.4469230769 32.9452747253 34.08375 26.64109375
4at6 44.0639759036 29.0737410072 29.1170588235 38.2009090909 28.0452 34.075
2bmk 20.7215116279 27.5242857143 36.4905042017 24.0460273973 21.1282222222 19.4143037975
1iqd 26.3158227848 28.5448148148 17.6964516129 21.9865934066 22.4604444444 20.8267164179
1e4x 41.4791304348 42.6605673759 35.6694871795 44.1494505495 35.3289285714 35.718125
5vjq 23.927721519 26.5346875 20.7369565217 26.4742857143 23.745 21.8711538462
6dwc 47.4743820225 46.3833333333 45.8409090909 58.3417266187 53.1520689655 42.0255
1mim 33.8102105263 34.8464661654 37.0748717949 57.4022666667 38.7675510204 32.1670491803
4edx 39.2151948052 43.6931147541 34.0538793103 41.9229885057 63.10890625 33.102027027
4kph 46.828961039 33.1668181818 40.277037037 41.5989189189 48.8561702128 28.0676056338
1mie 69.343 68.9247445255 69.4415789474 62.71056 77.9767307692 60.5880246914
1j1p 20.8950632911 14.766015625 17.7752173913 15.8679518072 12.2103846154 11.3266233766
4edw 64.7294805195 75.1345454545 53.1631932773 73.7084337349 62.8914285714 63.9141025641
1ynk 26.847173913 28.6959854015 29.0460714286 32.5581889764 30.3443333333 26.4339130435
5e08 43.7375324675 42.0248951049 46.7293288591 58.7998630137 52.746122449 44.562625
4gxv 20.90425 24.5475 47.0737681159 27.9615909091 34.5843636364 26.8298876404
5e03 22.2636666667 19.3265217391 12.9155555556 none none none
6h06 46.4782022472 53.2572093023 64.6325581395 59.2617910448 56.421875 42.4331578947
1om3 18.0054320988 20.7727777778 29.431588785 23.5614942529 23.4758823529 19.6312857143
1vfb 17.8196511628 20.5982781457 15.0935353535 16.8966972477 20.9412307692 14.5181553398
1vfa 17.1145070423 22.1421138211 22.2410126582 15.7842352941 18.8407407407 15.9520731707
4fz8 78.6670886076 77.6546564885 96.9690909091 84.449 78.80875 60.2732727273
3klh 57.733974359 58.1088028169 62.4558241758 65.0045121951 64.9107272727 59.6160714286
3ezj 45.0879452055 43.2651851852 42.5491 none none none
1fai 33.4258974359 36.713 44.2339166667 23.2712359551 25.1175 21.0322058824
6bi2 43.0744705882 42.3583333333 53.4533333333 70.1251282051 53.7905555556 58.3553333333
3qsk 14.8114942529 16.2130275229 12.7801030928 none none none
6bi0 38.2812941176 27.111884058 48.3546808511 49.8215384615 48.4888888889 42.6869333333
2j88 39.2188157895 37.7598611111 39.346 39.8451219512 39.3593023256 34.2661428571
4hzl 28.4276712329 26.6963779528 31.3678947368 46.01312 37.1981355932 40.075
2p46 27.9614473684 31.8379207921 28.4944444444 none none none
2p47 85.9114473684 89.0144554455 88.1573737374 none none none
5acm none none none 13.4853061224 15.379122807 15.9072727273
2p45 12.2219736842 16.633960396 13.4835353535 none none none
2p42 15.9551315789 19.0254455446 16.0271717172 none none none
2p43 15.5442105263 16.783960396 14.7847474747 none none none
4qt5 40.0410989011 39.916 30.3368181818 33.6660655738 33.6721568627 26.24375
3grw 29.2197183099 34.2671317829 32.0085093168 40.4148684211 34.4401851852 37.0121126761
2p48 43.4756578947 53.5376237624 45.7829292929 none none none
2p49 13.9927380952 15.3299082569 12.8011111111 none none none
1xf3 24.6590789474 23.8734328358 29.6228787879 21.2764705882 24.580212766 28.7956716418
4ej1 42.8330882353 25.1228099174 32.9711464968 none none none
1cly 26.9730769231 33.545703125 25.9496202532 46.4758914729 34.7105172414 32.50625
3go1 21.8919480519 24.1117692308 22.13 26.4584705882 25.2210526316 22.9018309859
5j9p 62.4177011494 65.2407462687 49.7018309859 47.0214634146 52.6869230769 40.4787804878
6bit 35.0595555556 38.4444680851 35.7462857143 49.093 40.5741304348 37.358902439
5w2b 49.7203797468 66.4226923077 45.9367808219 77.564109589 56.8306122449 68.6889230769
4fze 35.2363291139 38.78648 42.9080141844 43.91025 38.6308333333 37.6529411765
5vxm 66.2775206612 44.9859322034 53.0737164751 none none none
5f1k 54.1263095238 30.6648387097 55.8836111111 none none none
5d72 48.7794252874 54.9331111111 46.1868888889 62.1075903614 80.3185714286 55.1363636364
5f1o 28.9662337662 36.8842635659 45.4292899408 none none none
5vxk 57.1852083333 65.6990598291 56.2592675159 none none none
5d71 44.8282758621 45.68392 43.4862222222 44.4868674699 none 43.7783076923
3ehb 49.8434615385 63.7746031746 46.5759090909 53.7607777778 50.5288 50.7933333333
4qth 35.9731460674 53.1517741935 39.2292592593 31.9386075949 38.5039130435 30.2949315068
2p4a 30.3448863636 34.6519266055 28.2697674419 none none none
3b2u 30.0228888889 23.3246564885 27.1242352941 26.9190123457 26.1118 23.6738571429
4hha 12.7348101266 16.2644927536 16.4322131148 12.9627848101 16.9518 11.71
5vxr 20.9178571429 18.4318376068 16.2167625899 18.1968722467 14.363030303 14.9054609929
3uzv 61.7195061728 55.992 46.3579661017 63.5846511628 54.4988135593 46.3983950617
1xf4 20.9540963855 24.264496124 32.558030303 25.914375 27.4714893617 26.7175384615
3uzq 31.8682786885 30.4386956522 21.8836206897 34.9766935484 29.4524528302 24.9051282051
5o0w 53.5556164384 60.8479591837 55.6269191919 none none none
3uze 28.8506557377 34.5426956522 19.3089655172 31.5550806452 32.6773584906 22.9835897436
6b0s 18.1986075949 20.052265625 18.8422222222 21.8855696203 22.7661403509 25.8552173913
4trp 29.1497297297 24.8366666667 19.9972727273 19.4476859504 17.4894827586 16.547972973
6b0g 14.1232467532 24.1262857143 18.8144680851 23.1633064516 26.2063636364 24.7388311688
6b0a 54.5030379747 63.9639495798 63.6051968504 78.6507865169 71.0354545455 62.582
6b0h 39.9669047619 43.8239655172 28.772970297 36.1776470588 30.5210869565 28.7581690141
1ngw 73.2487912088 75.2317293233 58.8085106383 71.9237837838 56.206 53.2201315789
1ngp 17.1659340659 16.3824264706 15.3621359223 21.8392929293 22.4276 19.1854761905
1ngq 19.4896703297 17.56875 18.3219417476 24.064040404 23.0224 26.3538095238
5n7b 21.3284269663 25.372745098 19.2639583333 22.1861956522 24.601547619 18.3249275362
4b5e 31.707972973 31.68475 32.607755102 none none none
1ngy 42.3238461538 51.697443609 41.5065957447 54.1054054054 45.0250909091 43.1428947368
5cey 44.7803703704 39.8077099237 55.6078773585 47.027721519 39.6773684211 41.9448076923
5cex 30.5659493671 43.665390625 33.7270697674 49.4782666667 33.7064912281 35.7173333333
5o04 49.3368181818 85.1433018868 62.589137931 none none none
5o05 43.0009090909 59.9296190476 34.8103921569 none none none
5o02 15.7397530864 21.1915254237 15.3119008264 none none none
5o03 62.1876623377 72.1312871287 75.7149122807 none none none
4jpk 44.5009195402 39.3439849624 40.9254205607 71.9803703704 51.6366 37.9888
4jpi 34.0644827586 33.7317293233 36.7782242991 49.1095061728 36.535 32.174
4rrp 52.7075641026 47.5919083969 58.377037037 62.2456164384 64.6675510204 56.9214814815
1emt 24.6054878049 20.0162589928 38.9537931034 15.0932142857 26.7501785714 13.601375
5t78 75.3697260274 75.1281967213 62.3427731092 65.0972762646 68.422890625 58.5772857143
5n7w 39.0241176471 41.0643650794 30.6670526316 31.3632673267 37.119 29.4461728395
2c1o 41.5074444444 45.8107042254 52.5703571429 30.8928571429 38.03 23.0405882353
4f57 24.1001298701 23.2034459459 23.5827777778 21.4814285714 28.3094444444 15.8052857143
1w72 21.1832142857 21.5832773109 22.0725 23.1131578947 25.1468518519 20.8514851485
6b08 60.7208791209 60.7986363636 52.7771910112 68.7183783784 60.9598412698 67.3092708333
4f58 28.0801298701 36.4594594595 32.4996527778 40.4206930693 31.8527777778 32.9848571429
3ffd 28.1826666667 26.9248 27.4187179487 28.4141052632 32.2237974684 38.9583333333
4nzr 36.7741365462 30.6526315789 48.9266 22.6570114943 19.3850892857 17.8046583851
4nzt 62.3080882353 43.75168 41.197961165 44.9633333333 29.6998181818 41.4597468354
4nzu 12.1018248175 12.1781333333 13.0328042328 11.1364335664 10.8938666667 9.63212121212
4lbe 80.9728735632 77.9401408451 51.5045070423 49.8282926829 54.575 39.9718292683
4c83 47.5493181818 47.7381300813 44.9773684211 63.1302597403 65.5204081633 52.0867058824
3et9 17.424875 14.4080597015 16.3776829268 18.8165116279 13.5456451613 13.6662857143
2c1p 30.2992222222 28.5499295775 41.5373214286 33.8221428571 33.5934615385 23.2070588235
5owp 34.7748314607 37.3935947712 30.486875 35.9856521739 36.373452381 28.38
2vq1 49.7153246753 38.124109589 37.5746153846 35.9126612903 33.3756896552 28.7108108108
4pfe 40.616 38.0559663866 43.14 none none none
5mwn 78.3118666667 114.164411765 90.0767346939 none none none
1m7i 34.6315555556 45.1166013072 33.6177192982 30.997007874 34.0534482759 26.953
6ana 18.6391208791 23.4252903226 25.88125 22.8239552239 24.9122413793 20.2236111111
6and 30.5998876404 31.3386466165 25.5116326531 33.1808641975 30.3125862069 27.7360526316
4uik 30.6377245509 33.58875 32.2927 31.199112426 36.4800862069 27.7233076923
6ani 32.4875862069 34.135 37.0963829787 38.6138888889 38.2985714286 42.833220339
4aeh 22.269047619 25.215625 23.5881176471 17.6634065934 18.6193023256 16.3385882353
4aei 27.8120689655 31.21352 27.9451612903 29.42424 28.6974137931 25.6147826087
5u15 33.9026436782 44.1611278195 36.1238 44.73625 43.8687272727 35.346119403
